,Models,Prices(Rs),Buy Now
24,INFINIX HOT 50 PRO = 8GB RAM = 128GB ROM = 5000mAh BATTERY,"41,999",https://www.daraz.pk/products/50-8gb-128gb-5000mah-i604424607.html
25,Infinix Hot 50 Pro Plus - AMOLED LCD - 6.78 Inches Display - 8GB RAM 256GB ROM - 13MP Front Camera - 50MP+2MP Rear Camera - Dual SIM - 5000mAh Battery,"55,499",https://www.daraz.pk/products/50-lcd-678-8gb-256gb-13mp-50mp-2mp-5000mah-i609162569.html
26,INFINIX HOT 50 PRO = 8GB RAM =128GB ROM =5000mAh BATTERY,"41,999",https://www.daraz.pk/products/50-8gb-128gb-5000mah-i618341328.html
27,Infinix SMART 9 HD 4GB RAM 64GB ROM  6.7-INCH DISPLAY 5000mAh Battery PTA Approved Official One Year Brand Warranty,"23,399",https://www.daraz.pk/products/infinix-smart-9-hd-4gb-ram-64gb-rom-67-inch-display-5000mah-battery-pta-approved-official-one-year-brand-warranty-i662776359.html
28,"Infinix NOTE 12 - 8GB RAM 128GB ROM - Mediatek Helio G96 Processor - 50MP Triple Camera - 6.7"" FHD+ AMOLED Display","41,999",https://www.daraz.pk/products/12-8gb-128gb-g96-50mp-fhd-i313024586.html
29,Infinix NOTE 50 || 8GB + 8GB RAM + 256GB ROM || 5200mAh Battery,"64,999",https://www.daraz.pk/products/50-ace-8gb-8gb-256gb-5200mah-i739631268.html
30,Infinix Note 50 _ 6.78* Inch Display _ 8GB + 8GB Extended RAM _ 256GB ROM _ PTA APPROVED,"65,806",https://www.daraz.pk/products/infinix-note-50-_-678-inch-display-_-8gb-8gb-extended-ram-_-256gb-rom-_-pta-approved-i773787895.html
31,"Infinix Hot 50 Pro  6.78"" HD+ AMOLED Display 8GB RAM 128GB ROM 5000mAh Battery 33W Fast Charging PTA Approved 1 Year Official Brand Warranty","42,880",https://www.daraz.pk/products/50-8gb-128gb-hd-678-mah-33-pta-1-i602703774.html
32,infinix Zero 40 - 6.78 Inches Display -  8GB RAM 256GB ROM - 108MP*+50MP+2MP Rear Camera - 50MP Front Camera - Dual SIM - 5000mAh Battery,"62,499",https://www.daraz.pk/products/40-678-8gb-256gb-108mp-50mp-2mp-50mp-5000mah-i589893186.html
33,"Infinix Smart 9 HD 4GB+4GB Extended RAM 64GB Rom ,  90Hz 6.7"" Punch-Hole Display with Dynamic Bar , 5000 mAh - Battery charging 10W. PTA Approved,","23,699",https://www.daraz.pk/products/9-hd-4gb-4gb-64gb-90hz-67-5000-mah-10-pta-i823475317.html
34,Infinix Zero 40 4G RAM 8 GB ROM 256 GB Front Camera	50 MP Back Camera	108 MP + 50MP + 2 MP  Battery Type	5000mAh,"60,249",https://www.daraz.pk/products/40-4g-8-gb-256-gb-50-mp-5mp-50mp-2-mp-108-mah-i578564386.html
35,"Infinix Hot 50 | 6.7"" Inch Display | 8GB RAM | 128GB ROM | 1 Year Brand Warranty","38,915",https://www.daraz.pk/products/infinix-hot-50-67-inch-display-8gb-ram-128gb-rom-1-year-brand-warranty-i835627260.html
36,Infinix Zero 40 5G || 12GB EXPANDABLE TO 24GB RAM 256GB ROM || 3D - Curved AMOLED 144HZ display || 4k 60 FPS Video Recording || 108 MP + 50MP + 2 MP Back Camera || 6.78 Display || 5000 mAh Battery,"93,999",https://www.daraz.pk/products/40-5-12gb-24gb-1-000-gb-3d-256-hz-ace-4k-60-fps-67-50mp-2-678-5000-mah-i654333961.html
37,"Infinix NOTE 12 - 8GB RAM 128GB ROM - Mediatek Helio G96 Processor - 50MP Triple Camera - 6.7"" FHD+ AMOLED Display","41,999",https://www.daraz.pk/products/12-8gb-128gb-g96-50mp-fhd-i312968313.html
38,Infinix Note 50 pro  - 6.78* Inch Display - 8GB + 8GB Extended RAM - 256GB ROM,"82,633",https://www.daraz.pk/products/infinix-note-50-pro-678-inch-display-8gb-8gb-extended-ram-256gb-rom-i796154253.html
39,Infinix Hot 50 || 8GB+8GB Ram 128GB Rom || 5000mAh Battery,"38,999",https://www.daraz.pk/products/50-ace-8gb-8gb-8gb-128-mah-i606562846.html
